STATE,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,"CRIMINAL
CASES",AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,TOTAL ELECTORS
Goa,NORTH GOA,DATTATRAYA PADGAONKAR,0,AAP,MALE,0,59,GENERAL,Graduate,"Rs 1,98,19,040
 ~ 1 Crore+","Rs 0
 ~",556761
Goa,NORTH GOA,GIRISH RAYA CHODANKAR,0,INC,MALE,0,52,GENERAL,Post Graduate,"Rs 1,43,93,879
 ~ 1 Crore+","Rs 17,58,927
 ~ 17 Lacs+",556761
Goa,NORTH GOA,SHRIPAD YESSO NAIK,1,BJP,MALE,0,66,GENERAL,Graduate,"Rs 6,57,95,623
 ~ 6 Crore+","Rs 14,91,387
 ~ 14 Lacs+",556761
Goa,SOUTH GOA,ELVIS GOMES,0,AAP,MALE,1,56,GENERAL,Graduate Professional,"Rs 96,76,888
 ~ 96 Lacs+","Rs 0
 ~",579352
Goa,SOUTH GOA,COSME FRANCISCO CAITANO SARDINHA,1,INC,MALE,0,73,GENERAL,Graduate Professional,"Rs 7,94,02,232
 ~ 7 Crore+","Rs 0
 ~",579352
Goa,SOUTH GOA,ADV. NARENDRA SAWAIKAR,0,BJP,MALE,0,52,GENERAL,Graduate Professional,"Rs 1,45,26,550
 ~ 1 Crore+","Rs 0
 ~",579352
Chandigarh,CHANDIGARH,HARMOHAN DHAWAN,0,AAP,MALE,0,78,GENERAL,Post Graduate,"Rs 24,30,11,000
 ~ 24 Crore+","Rs 0
 ~",646729
Chandigarh,CHANDIGARH,PARVEEN KUMAR,0,BSP,MALE,0,44,SC,Others,"Rs 6,86,891
 ~ 6 Lacs+","Rs 0
 ~",646729
Chandigarh,CHANDIGARH,PAWAN KUMAR BANSAL,0,INC,MALE,0,70,GENERAL,Graduate Professional,"Rs 9,55,83,235
 ~ 9 Crore+","Rs 0
 ~",646729
Chandigarh,CHANDIGARH,KIRRON KHER,1,BJP,FEMALE,0,66,GENERAL,Post Graduate,"Rs 47,49,83,574
 ~ 47 Crore+","Rs 62,79,188
 ~ 62 Lacs+",646729
Meghalaya,TURA,AGATHA K. SANGMA,1,NPEP,FEMALE,0,38,ST,Post Graduate,"Rs 2,94,06,813
 ~ 2 Crore+","Rs 0
 ~",716990
Meghalaya,TURA,DR. MUKUL SANGMA,0,INC,MALE,0,53,ST,Graduate Professional,"Rs 13,67,35,735
 ~ 13 Crore+","Rs 34,08,159
 ~ 34 Lacs+",716990
Meghalaya,TURA,RIKMAN GARREY MOMIN,0,BJP,MALE,0,55,ST,Others,"Rs 10,25,030
 ~ 10 Lacs+","Rs 0
 ~",716990
Mizoram,MIZORAM,TBC LALVENCHHUNGA,0,PRISMP,MALE,0,36,ST,10th Pass,"Rs 77,24,713
 ~ 77 Lacs+","Rs 21,45,065
 ~ 21 Lacs+",792464
Mizoram,MIZORAM,NIRUPAM CHAKMA,0,BJP,MALE,0,59,ST,Graduate Professional,"Rs 1,56,55,480
 ~ 1 Crore+","Rs 10,16,188
 ~ 10 Lacs+",792464
Mizoram,MIZORAM,C LALROSANGA,1,MNF,MALE,0,62,ST,Graduate,"Rs 13,12,01,374
 ~ 13 Crore+","Rs 0
 ~",792464
Mizoram,MIZORAM,LALNGHINGLOVA HMAR,0,IND,MALE,0,41,ST,Post Graduate,"Rs 1,38,91,235
 ~ 1 Crore+","Rs 60,00,000
 ~ 60 Lacs+",792464
Mizoram,MIZORAM,LAL HRIATRENGA CHHANGTE,0,IND,MALE,0,54,ST,Graduate Professional,"Rs 1,34,99,370
 ~ 1 Crore+","Rs 25,00,000
 ~ 25 Lacs+",792464
Assam,AUTONOMOUS DISTRICT,JONES INGTI KATHAR,0,IND,MALE,0,68,ST,Post Graduate,"Rs 6,10,218
 ~6 Lacs+",NIL,795945
Assam,AUTONOMOUS DISTRICT,LIENKHOCHON,0,NPEP,MALE,0,39,ST,8th Pass,"Rs 68,30,962
 ~ 68 Lacs+","Rs 16,06,436
 ~ 16 Lacs+",795945
Assam,AUTONOMOUS DISTRICT,BIREN SINGH ENGTI,0,INC,MALE,0,76,ST,Post Graduate,"Rs 78,66,276
 ~ 78 Lacs+","Rs 0
 ~",795945
Assam,AUTONOMOUS DISTRICT,HOREN SING BEY,1,BJP,MALE,2,49,ST,Graduate,"Rs 2,06,93,570
 ~ 2 Crore+","Rs 59,56,209
 ~ 59 Lacs+",795945
Assam,AUTONOMOUS DISTRICT,HOLIRAM TERANG,0,ASDC,MALE,0,61,ST,Graduate,"Rs 5,37,85,471
 ~ 5 Crore+","Rs 50,00,000
 ~ 50 Lacs+",795945
Manipur,INNER MANIPUR,MOIRANGTHEM NARA SINGH,0,CPI(M),MALE,0,69,GENERAL,Graduate Professional,"Rs 35,58,822
 ~ 35 Lacs+","Rs 55,89,692
 ~ 55 Lacs+",937464
Manipur,INNER MANIPUR,OINAM NABAKISHORE SINGH,0,INC,MALE,1,59,GENERAL,Post Graduate,"Rs 1,78,67,003
 ~ 1 Crore+","Rs 14,01,257
 ~ 14 Lacs+",937464
Manipur,INNER MANIPUR,DR RAJKUMAR RANJAN SINGH,1,BJP,MALE,0,67,GENERAL,Doctorate,"Rs 1,96,16,174
 ~ 1 Crore+","Rs 0
 ~",937464
Manipur,INNER MANIPUR,RAJKUMAR SOMENDRO SINGH (KAIKU),0,IND,MALE,0,40,GENERAL,10th Pass,"Rs 30,02,505
 ~ 30 Lacs+","Rs 6,30,405
 ~ 6 Lacs+",937464
Manipur,INNER MANIPUR,R.K. ANAND,0,NEINDP,MALE,0,59,GENERAL,Graduate Professional,"Rs 52,66,941
 ~ 52 Lacs+","Rs 29,63,600
 ~ 29 Lacs+",937464
Puducherry,PUDUCHERRY,DR.M.A.S. SUBRAMANIAN,0,MNM,MALE,0,72,GENERAL,Graduate Professional,"Rs 39,35,86,982
 ~ 39 Crore+","Rs 2,88,20,830
 ~ 2 Crore+",973410
Puducherry,PUDUCHERRY,N.SHARMILA BEGUM,0,NTK,FEMALE,Not Available,30,GENERAL,Not Available,Not Available,Not Available,973410
Puducherry,PUDUCHERRY,VE. VAITHILINGAM,1,INC,MALE,0,68,GENERAL,Graduate,"Rs 10,80,15,548
 ~ 10 Crore+","Rs 5,20,989
 ~ 5 Lacs+",973410
Puducherry,PUDUCHERRY,DR. NARAYANASAMY KESAVAN,0,AINRC,MALE,0,29,GENERAL,Post Graduate,"Rs 8,37,19,044
 ~ 8 Crore+","Rs 1,27,39,010
 ~ 1 Crore+",973410
Manipur,OUTER MANIPUR,THANGMINLIEN KIPGEN,0,NPEP,MALE,0,64,ST,12th Pass,"Rs 66,63,739
 ~ 66 Lacs+","Rs 5,75,332
 ~ 5 Lacs+",1022099
Manipur,OUTER MANIPUR,LORHO S. PFOZE,1,NPF,MALE,0,59,ST,Graduate Professional,"Rs 1,37,09,352
 ~ 1 Crore+","Rs 0
 ~",1022099
Manipur,OUTER MANIPUR,K. JAMES,0,INC,MALE,2,56,ST,Graduate,"Rs 12,91,98,371
 ~ 12 Crore+","Rs 2,18,39,605
 ~ 2 Crore+",1022099
Manipur,OUTER MANIPUR,HOULIM SHOKHOPAO MATE,0,BJP,MALE,0,36,ST,12th Pass,"Rs 1,68,91,558
 ~ 1 Crore+","Rs 0
 ~",1022099
Manipur,OUTER MANIPUR,ASHANG KASAR,0,NEINDP,MALE,0,43,ST,Post Graduate,"Rs 1,35,63,720
 ~ 1 Crore+","Rs 0
 ~",1022099
Assam,SILCHAR,SUSHMITA DEV,0,INC,FEMALE,1,46,GENERAL,Post Graduate,"Rs 10,67,07,145
 ~ 10 Crore+","Rs 1,94,05,127
 ~ 1 Crore+",1195720
Assam,SILCHAR,RAJDEEP ROY,1,BJP,MALE,0,48,GENERAL,Post Graduate,"Rs 2,99,01,767
 ~ 2 Crore+","Rs 69,76,701
 ~ 69 Lacs+",1195720
Meghalaya,SHILLONG,JEMINO MAWTHOH,0,UDP,MALE,0,54,ST,Doctorate,"Rs 1,14,32,184
 ~ 1 Crore+","Rs 11,78,370
 ~ 11 Lacs+",1197806
Meghalaya,SHILLONG,VINCENT H. PALA,1,INC,MALE,0,51,ST,Graduate Professional,"Rs 54,95,15,421
 ~ 54 Crore+","Rs 0
 ~",1197806
Meghalaya,SHILLONG,SANBOR SHULLAI,0,BJP,MALE,0,52,ST,10th Pass,"Rs 6,61,68,175
 ~ 6 Crore+","Rs 0
 ~",1197806
Jharkhand,KHUNTI,AJAY TOPNO,0,JKP,MALE,0,50,ST,Graduate,"Rs 81,91,682
 ~ 81 Lacs+","Rs 0
 ~",1202664
Jharkhand,KHUNTI,KALI CHARAN MUNDA,0,INC,MALE,0,57,ST,12th Pass,"Rs 51,11,665
 ~ 51 Lacs+","Rs 0
 ~",1202664
Jharkhand,KHUNTI,ARJUN MUNDA,1,BJP,MALE,0,50,ST,12th Pass,"Rs 9,15,07,865
 ~ 9 Crore+","Rs 2,71,06,434
 ~ 2 Crore+",1202664
Jharkhand,KHUNTI,MEENAKSHI MUNDA,0,IND,FEMALE,0,40,ST,Doctorate,"Rs 1,34,77,647
 ~ 1 Crore+","Rs 8,51,103
 ~ 8 Lacs+",1202664
Kerala,IDUKKI,"ADV, JOICE GEORGE",0,IND,MALE,9,49,GENERAL,Post Graduate,"Rs 1,63,06,010
 ~ 1 Crore+","Rs 31,69,941
 ~ 31 Lacs+",1204191
Kerala,IDUKKI,ADV. DEAN KURIAKOSE,1,INC,MALE,204,37,GENERAL,Post Graduate,"Rs 1,33,95,011
 ~ 1 Crore+","Rs 1,00,00,000
 ~ 1 Crore+",1204191
Kerala,IDUKKI,BIJU KRISHNAN,0,BDJS,MALE,0,49,GENERAL,Graduate,"Rs 1,63,47,063
 ~ 1 Crore+","Rs 17,89,000
 ~ 17 Lacs+",1204191
Kerala,KOTTAYAM,V.N. VASAVAN,0,CPI(M),MALE,0,64,GENERAL,10th Pass,"Rs 73,61,071
 ~ 73 Lacs+","Rs 6,37,399
 ~ 6 Lacs+",1206698
Kerala,KOTTAYAM,ADV. P.C THOMAS,0,KEC,MALE,3,68,GENERAL,Graduate Professional,"Rs 2,76,43,705
 ~ 2 Crore+","Rs 40,36,712
 ~ 40 Lacs+",1206698
Kerala,KOTTAYAM,THOMAS CHAZHIKADAN,1,KEC(M),MALE,0,66,GENERAL,Graduate Professional,"Rs 2,60,27,478
 ~ 2 Crore+","Rs 4,95,778
 ~ 4 Lacs+",1206698
Nagaland,NAGALAND,HAYITHUNG TUNGOE,0,NPEP,MALE,0,38,ST,Post Graduate,"Rs 12,65,882
 ~ 12 Lacs+","Rs 0
 ~",1213777
Nagaland,NAGALAND,TOKHEHO YEPTHOMI,1,NDPP,MALE,0,62,ST,Graduate,"Rs 12,81,17,474
 ~ 12 Crore+","Rs 1,86,00,000
 ~ 1 Crore+",1213777
Nagaland,NAGALAND,K L CHISHI,0,INC,MALE,0,75,ST,Graduate Professional,"Rs 37,01,59,329
 ~ 37 Crore+","Rs 0
 ~",1213777
Kerala,CHALAKUDY,INNOCENT,0,CPI(M),MALE,0,71,GENERAL,8th Pass,"Rs 6,74,56,404
 ~ 6 Crore+","Rs 6,70,000
 ~ 6 Lacs+",1230197
Kerala,CHALAKUDY,BENNY BEHANAN,1,INC,MALE,4,66,GENERAL,Graduate,"Rs 2,04,61,931
 ~ 2 Crore+","Rs 9,15,938
 ~ 9 Lacs+",1230197
Kerala,CHALAKUDY,A N RADHAKRISHNAN,0,BJP,MALE,6,59,GENERAL,Graduate,"Rs 2,13,83,000
 ~ 2 Crore+","Rs 54,62,000
 ~ 54 Lacs+",1230197
Jharkhand,LOHARDAGA,SANJAY ORAON,0,IND,MALE,0,41,ST,8th Pass,"Rs 13,52,000
 ~ 13 Lacs+","Rs 0
 ~",1234286
Jharkhand,LOHARDAGA,DEOKUMAR DHAN,0,JKP,MALE,1,53,ST,Graduate,"Rs 2,26,79,920
 ~ 2 Crore+","Rs 24,00,000
 ~ 24 Lacs+",1234286
Jharkhand,LOHARDAGA,DINESH ORAON,0,AITC,MALE,0,26,ST,12th Pass,"Rs 92,32,000
 ~ 92 Lacs+","Rs 8,00,000
 ~ 8 Lacs+",1234286
Jharkhand,LOHARDAGA,SUKHDEO BHAGAT,0,INC,MALE,1,57,ST,Post Graduate,"Rs 2,10,94,142
 ~ 2 Crore+","Rs 39,35,029
 ~ 39 Lacs+",1234286
Jharkhand,LOHARDAGA,SUDARSHAN BHAGAT,1,BJP,MALE,0,52,ST,Graduate,"Rs 1,29,47,303
 ~ 1 Crore+","Rs 5,25,000
 ~ 5 Lacs+",1234286
Jharkhand,LOHARDAGA,RAGHUNATH MAHLI,0,IND,MALE,0,47,ST,8th Pass,"Rs 18,04,321
 ~ 18 Lacs+","Rs 2,50,000
 ~ 2 Lacs+",1234286
Kerala,ERNAKULAM,P RAJEEV,0,CPI(M),MALE,6,51,GENERAL,Graduate Professional,"Rs 4,81,74,090
 ~ 4 Crore+","Rs 16,29,133
 ~ 16 Lacs+",1245972
Kerala,ERNAKULAM,HIBI EDEN,1,INC,MALE,7,35,GENERAL,Graduate,"Rs 79,08,467
 ~ 79 Lacs+","Rs 2,00,000
 ~ 2 Lacs+",1245972
Kerala,ERNAKULAM,ALPHONS KANNANTHANAM,0,BJP,MALE,1,65,GENERAL,Graduate,"Rs 11,58,36,275
 ~ 11 Crore+","Rs 0
 ~",1245972
Himachal Pradesh,SHIMLA,DHANI RAM SHANDIL,0,INC,MALE,1,78,SC,Doctorate,"Rs 3,67,82,528
 ~ 3 Crore+","Rs 41,11,104
 ~ 41 Lacs+",1259085
Himachal Pradesh,SHIMLA,SURESH KUMAR KASHYAP,1,BJP,MALE,0,48,SC,Post Graduate,"Rs 1,57,05,738
 ~ 1 Crore+","Rs 78,73,806
 ~ 78 Lacs+",1259085
Tripura,TRIPURA EAST,NARENDRA CHANDRA DEBBARMA,0,IPFT,MALE,0,76,ST,Graduate,"Rs 1,22,89,807
 ~ 1 Crore+","Rs 0
 ~",1261861
Tripura,TRIPURA EAST,JITENDRA CHAUDHURY,0,CPI(M),MALE,1,60,ST,10th Pass,"Rs 2,27,51,748
 ~ 2 Crore+","Rs 11,20,000
 ~ 11 Lacs+",1261861
Tripura,TRIPURA EAST,MAHARAJ KUMARI PRAGYA DEBBURMAN,0,INC,FEMALE,0,50,ST,Post Graduate,"Rs 6,92,44,661
 ~ 6 Crore+","Rs 5,76,370
 ~ 5 Lacs+",1261861
Tripura,TRIPURA EAST,REBATI TRIPURA,1,BJP,MALE,0,43,ST,Post Graduate,"Rs 19,48,315
 ~ 19 Lacs+","Rs 0
 ~",1261861
Kerala,KANNUR,P. K. SREEMATHI TEACHER,0,CPI(M),FEMALE,10,69,GENERAL,12th Pass,"Rs 2,45,90,760
 ~ 2 Crore+","Rs 0
 ~",1266550
Kerala,KANNUR,K. SUDHAKARAN,1,INC,MALE,3,70,GENERAL,Post Graduate,"Rs 2,96,99,206
 ~ 2 Crore+","Rs 74,68,633
 ~ 74 Lacs+",1266550
Kerala,KANNUR,C. K. PADMANABHAN,0,BJP,MALE,0,70,GENERAL,10th Pass,"Rs 32,90,900
 ~ 32 Lacs+","Rs 0
 ~",1266550
Kerala,ALATHUR,DR. P.K.BIJU,0,CPI(M),MALE,0,44,SC,Doctorate,"Rs 40,83,003
 ~ 40 Lacs+","Rs 5,19,379
 ~ 5 Lacs+",1266794
Kerala,ALATHUR,RAMYA HARIDAS,1,INC,FEMALE,3,32,SC,10th Pass,"Rs 11,52,816
 ~ 11 Lacs+","Rs 0
 ~",1266794
Kerala,ALATHUR,T.V.BABU,0,BDJS,MALE,4,61,SC,10th Pass,"Rs 12,61,055
 ~ 12 Lacs+","Rs 6,85,000
 ~ 6 Lacs+",1266794
Jharkhand,SINGHBHUM,PRATAP SINGH BANARA,0,APoI,MALE,0,25,ST,Post Graduate,"Rs 52,985
 ~ 52 Thou+","Rs 0
 ~",1269917
Jharkhand,SINGHBHUM,PARDESHI LAL MUNDA,0,BSP,MALE,1,31,ST,12th Pass,"Rs 6,11,726
 ~ 6 Lacs+","Rs 0
 ~",1269917
Jharkhand,SINGHBHUM,GEETA KORA,1,INC,FEMALE,1,35,ST,Post Graduate,"Rs 2,52,49,018
 ~ 2 Crore+","Rs 19,28,508
 ~ 19 Lacs+",1269917
Jharkhand,SINGHBHUM,PUSHPA SINKU,0,IND,FEMALE,0,29,ST,Post Graduate,"Rs 1,25,000
 ~ 1 Lacs+","Rs 0
 ~",1269917
Jharkhand,SINGHBHUM,LAXMAN GILUWA,0,BJP,MALE,3,57,ST,12th Pass,"Rs 1,95,16,408
 ~ 1 Crore+","Rs 12,65,285
 ~ 12 Lacs+",1269917
Jharkhand,SINGHBHUM,ANIL SOREN,0,IND,MALE,0,31,ST,Graduate,"Rs 20,30,615
 ~ 20 Lacs+","Rs 36,000
 ~ 36 Thou+",1269917
Himachal Pradesh,MANDI,DALEEP SINGH KAITH,0,CPI(M),MALE,1,48,GENERAL,Post Graduate,"Rs 43,03,590
 ~ 43 Lacs+","Rs 9,34,823
 ~ 9 Lacs+",1281462
Himachal Pradesh,MANDI,AASHRAY SHARMA,0,INC,MALE,0,32,GENERAL,Others,"Rs 4,85,23,665
 ~ 4 Crore+","Rs 1,62,86,033
 ~ 1 Crore+",1281462
Himachal Pradesh,MANDI,RAM SWAROOP SHARMA,1,BJP,MALE,0,60,GENERAL,10th Pass,"Rs 1,57,24,337
 ~ 1 Crore+","Rs 7,83,963
 ~ 7 Lacs+",1281462
Odisha,KANDHAMAL,ACHYUTANANDA SAMANTA,1,BJD,MALE,0,55,GENERAL,Doctorate,"Rs 12,44,722
 ~ 12 Lacs+","Rs 0
 ~",1288666
Odisha,KANDHAMAL,MANOJ KUMAR ACHARYA,0,INC,MALE,0,37,GENERAL,Graduate,"Rs 53,30,945
 ~ 53 Lacs+","Rs 0
 ~",1288666
Odisha,KANDHAMAL,MAHAMEGHABAHAN AIRA KHARABELA SWAIN,0,BJP,MALE,0,66,GENERAL,Post Graduate,"Rs 94,15,000
 ~ 94 Lacs+","Rs 10,50,000
 ~ 10 Lacs+",1288666
Kerala,VADAKARA,P.JAYARAJAN,0,CPI(M),MALE,10,66,GENERAL,10th Pass,"Rs 90,72,440
 ~ 90 Lacs+","Rs 6,20,213
 ~ 6 Lacs+",1288926
Kerala,VADAKARA,K. MURALEEDHARAN,1,INC,MALE,3,62,GENERAL,Graduate,"Rs 11,43,79,340
 ~ 11 Crore+","Rs 0
 ~",1288926
Kerala,VADAKARA,ADV.V.K.SAJEEVAN,0,BJP,MALE,2,43,GENERAL,Graduate Professional,"Rs 35,30,403
 ~ 35 Lacs+","Rs 17,54,758
 ~ 17 Lacs+",1288926
Jammu & Kashmir,SRINAGAR,IRFAN RAZA ANSARI,0,JPC,MALE,0,41,GENERAL,Graduate,"Rs 66,91,98,138
 ~ 66 Crore+","Rs 6,23,71,547
 ~ 6 Crore+",1294671
Jammu & Kashmir,SRINAGAR,AGA SYED MOHSIN,0,PDP,MALE,0,58,GENERAL,12th Pass,"Rs 1,20,50,000
 ~ 1 Crore+","Rs 0
 ~",1294671
Jammu & Kashmir,SRINAGAR,SHEIKH KHALID JEHANGIR,0,BJP,MALE,1,43,GENERAL,12th Pass,"Rs 4,53,00,000
 ~ 4 Crore+","Rs 38,00,000
 ~ 38 Lacs+",1294671
Jammu & Kashmir,SRINAGAR,FAROOQ ABDULLAH,1,JKN,MALE,1,83,GENERAL,Graduate Professional,"Rs 12,19,04,435
 ~ 12 Crore+","Rs 0
 ~",1294671
Kerala,KOLLAM,K.N.BALAGOPAL,0,CPI(M),MALE,1,55,GENERAL,Post Graduate,"Rs 94,63,866
 ~ 94 Lacs+","Rs 28,00,000
 ~ 28 Lacs+",1296720
Kerala,KOLLAM,ADV.K.V.SABU,0,BJP,MALE,0,57,GENERAL,Post Graduate,"Rs 2,65,50,000
 ~ 2 Crore+","Rs 64,00,000
 ~ 64 Lacs+",1296720
Kerala,KOLLAM,N.K.PREMACHANDRAN,1,RSP,MALE,5,58,GENERAL,Graduate Professional,"Rs 1,75,00,650
 ~ 1 Crore+","Rs 32,70,587
 ~ 32 Lacs+",1296720
Tamil Nadu,NAGAPATTINAM,GURUVIAH K,0,MNM,MALE,0,61,SC,Graduate Professional,"Rs 68,39,043
 ~ 68 Lacs+","Rs 97,731
 ~ 97 Thou+",1303649
Tamil Nadu,NAGAPATTINAM,SELVARAJ M,1,CPI(M),MALE,0,63,SC,12th Pass,"Rs 45,72,837
 ~ 45 Lacs+","Rs 12,51,381
 ~ 12 Lacs+",1303649
Tamil Nadu,NAGAPATTINAM,MALATHI P,0,NTK,FEMALE,0,25,SC,Graduate Professional,"Rs 1,19,000
 ~ 1 Lacs+","Rs 55,400
 ~ 55 Thou+",1303649
Tamil Nadu,NAGAPATTINAM,SENGODI T,0,IND,FEMALE,2,36,SC,Graduate,"Rs 7,93,540
 ~ 7 Lacs+","Rs 0
 ~",1303649
Tamil Nadu,NAGAPATTINAM,SARAVANAN M,0,AIADMK,MALE,0,41,SC,Post Graduate,"Rs 1,84,92,618
 ~ 1 Crore+","Rs 14,29,090
 ~ 14 Lacs+",1303649
Kerala,MAVELIKKARA,CHITTAYAM GOPAKUMAR,0,CPI(M),MALE,0,53,SC,10th Pass,"Rs 37,25,488
 ~ 37 Lacs+","Rs 9,53,336
 ~ 9 Lacs+",1308102
Kerala,MAVELIKKARA,KODIKUNNIL SURESH,1,INC,MALE,1,56,SC,Post Graduate,"Rs 1,29,65,129
 ~ 1 Crore+","Rs 9,82,819
 ~ 9 Lacs+",1308102
Kerala,MAVELIKKARA,THAZHAVA SAHADEVAN,0,BDJS,MALE,0,64,SC,10th Pass,"Rs 49,26,063
 ~ 49 Lacs+","Rs 4,00,000
 ~ 4 Lacs+",1308102
Assam,DIBRUGARH,PABAN SINGH GHATOWAR,0,INC,MALE,0,67,GENERAL,Graduate,"Rs 5,74,88,181
 ~ 5 Crore+","Rs 0
 ~",1314319
Assam,DIBRUGARH,RAMESWAR TELI,1,BJP,MALE,0,48,GENERAL,10th Pass,"Rs 43,70,067
 ~ 43 Lacs+","Rs 0
 ~",1314319
Jammu & Kashmir,BARAMULLA,RAJA AIJAZ ALI,0,JPC,MALE,0,67,GENERAL,Graduate Professional,"Rs 17,68,68,487
 ~ 17 Crore+","Rs 8,48,606
 ~ 8 Lacs+",1317738
Jammu & Kashmir,BARAMULLA,ENGINEER RASHID,0,IND,MALE,0,54,GENERAL,Others,"Rs 80,00,000
 ~ 80 Lacs+","Rs 60,00,000
 ~ 60 Lacs+",1317738
Jammu & Kashmir,BARAMULLA,HAJI FAROOQ AHMAD MIR,0,INC,MALE,0,55,GENERAL,8th Pass,"Rs 1,27,77,435
 ~ 1 Crore+","Rs 0
 ~",1317738
Jammu & Kashmir,BARAMULLA,ABDUL QAYOOM WANI,0,JKPDP,MALE,0,59,GENERAL,Graduate Professional,"Rs 1,65,56,983
 ~ 1 Crore+","Rs 4,73,600
 ~ 4 Lacs+",1317738
Jammu & Kashmir,BARAMULLA,MOHD MAQBOOL WAR,0,BJP,MALE,0,65,GENERAL,Graduate,"Rs 1,13,20,000
 ~ 1 Crore+","Rs 0
 ~",1317738
Jammu & Kashmir,BARAMULLA,MOHAMMAD AKBAR LONE,1,JKN,MALE,0,71,GENERAL,Graduate Professional,"Rs 59,74,34,000
 ~ 59 Crore+","Rs 1,04,935
 ~ 1 Lacs+",1317738
Jammu & Kashmir,BARAMULLA,SYED NAJEEB SHAH NAQVI,0,IND,MALE,0,48,GENERAL,Post Graduate,"Rs 1,00,50,737
 ~ 1 Crore+","Rs 67,86,855
 ~ 67 Lacs+",1317738
Kerala,KOZHIKODE,A.PRADEEP KUMAR,0,CPI(M),MALE,1,55,GENERAL,12th Pass,"Rs 1,19,15,342
 ~ 1 Crore+","Rs 20,79,872
 ~ 20 Lacs+",1318024
